Source City,Destination City
Beijing,Sydney
Dubai,Sydney
Dubai,London 
Beijing,Seoul
Dubai,Italy
Singapore,Hong Kong
Singapore,Beijing
Beijing,Los Angeles
Dubai,Istanbul
Dubai,Seoul
Singapore,Sydney
Singapore,Istanbul
Dubai,Finland
Dubai,Tokyo
Dubai,Shanghai
Beijing,London 
Beijing,Mumbai 
Singapore,Dubai
Beijing,Finland
Beijing,Istanbul
Beijing,Italy
Singapore,Italy
Singapore,Seoul
Singapore,Los Angeles
Dubai,Hong Kong
Singapore,Mumbai 
Singapore,Tokyo
Shanghai,Seoul
Beijing,Tokyo
Singapore,Finland
Dubai,Beijing
Dubai,Los Angeles
Singapore,Shanghai
Beijing,Hong Kong
Singapore,London 
Dubai,Mumbai 
