#Source City,Destination City
Adler/Sochi,Kazan
Astrakhan,Kazan
Astrakhan,Mineralnye Vody
Chelyabinsk,Kazan
Chelyabinsk,Novosibirsk
Moscow,Kazan
Moscow,Naberevnye Chelny
Moscow,Bugulma
Belgorod,Kaliningrad
Belgorod,Kazan
Kaliningrad,Belgorod
Kazan,Adler/Sochi
Kazan,Astrakhan
Kazan,Chelyabinsk
Kazan,Moscow
Kazan,Belgorod
Kazan,St Petersburg
Kazan,Ekaterinburg
St Petersburg,Kazan
St Petersburg,Naberevnye Chelny
St Petersburg,Bugulma
Mineralnye Vody,Astrakhan
Naberevnye Chelny,Moscow
Naberevnye Chelny,St Petersburg
Naberevnye Chelny,Ekaterinburg
Nizhnevartovsk,Ekaterinburg
Nizhnevartovsk,Bugulma
Novy Urengoy,Ekaterinburg
Novosibirsk,Chelyabinsk
Novosibirsk,Ekaterinburg
Ekaterinburg,Kazan
Ekaterinburg,Naberevnye Chelny
Ekaterinburg,Nizhnevartovsk
Ekaterinburg,Novy Urengoy
Ekaterinburg,Novosibirsk
Bugulma,Moscow
Bugulma,St Petersburg
Bugulma,Nizhnevartovsk
Bratsk,Irkutsk
Bratsk,Novosibirsk
Chita,Irkutsk
Irkutsk,Bratsk
Irkutsk,Chita
Irkutsk,Kansas City
Irkutsk,Novosibirsk
Irkutsk,Ust-Kut
Irkutsk,Yakutsk
Kansas City,Irkutsk
Mirnyj,Novosibirsk
Novosibirsk,Bratsk
Novosibirsk,Irkutsk
Ust-Kut,Irkutsk
Yakutsk,Irkutsk
Ayacucho,Lima
Cuzco,Lima
Cuzco,Puerto Maldonado
Huanuco,Lima
Iquitos,Pucallpa
Iquitos,Tarapoto
Lima,Ayacucho
Lima,Cuzco
Lima,Huanuco
Lima,Pucallpa
Lima,Tarapoto
Pucallpa,Iquitos
Pucallpa,Lima
Pucallpa,Tarapoto
Puerto Maldonado,Cuzco
Tarapoto,Iquitos
Tarapoto,Lima
Tarapoto,Pucallpa
Abidjan,Bobo Dioulasso
Abidjan,Ouagadougou
Accra,Ouagadougou
Bamako,Abidjan
Bamako,Dakar
Bamako,Ouagadougou
Bobo Dioulasso,Abidjan
Bobo Dioulasso,Ouagadougou
Cotonou,Lome
Cotonou,Ouagadougou
Dakar,Bamako
Dakar,Ouagadougou
Lome,Ouagadougou
Niamey,Ouagadougou
Ouagadougou,Abidjan
Ouagadougou,Accra
Ouagadougou,Bamako
Ouagadougou,Bobo Dioulasso
Ouagadougou,Cotonou
Ouagadougou,Dakar
Ouagadougou,Lome
Ouagadougou,Niamey
Bogota,Guayaquil
Bogota,Quito
Cali,Guayaquil
Guayaquil,Bogota
Guayaquil,Cali
Guayaquil,San Cristobal
Guayaquil,Quito
Coca,Quito
San Cristobal,Guayaquil
Quito,Bogota
Quito,Guayaquil
Quito,Coca
Brindisi,Zurich
Bordeaux,Zurich
Bristol,Zurich
Geneva,Las Palmas
Larnaca,Zurich
Las Palmas,Zurich
Marsa Alam,Zurich
Tenerife,Geneva
Zurich,Brindisi
Zurich,Bordeaux
Zurich,Bristol
Zurich,Larnaca
Zurich,Las Palmas
Zurich,Marsa Alam
Arvidsjaur,Lycksele
Stockholm,Gallivare
Stockholm,Halmstad
Stockholm,Jonkoping
Stockholm,Kramfors
Stockholm,Karlstad
Stockholm,Lycksele
Stockholm,Mariehamn
Stockholm,Ornskoldsvik
Stockholm,Pori
Stockholm,Oslo
Stockholm,Visby
Stockholm,Vilhelmina
Stockholm,Vaxjo
Gallivare,Stockholm
Gallivare,Kramfors
Halmstad,Stockholm
Halmstad,Jonkoping
Halmstad,Vaxjo
Hemavan,Vilhelmina
Jonkoping,Stockholm
Jonkoping,Halmstad
Kokkola/Pietarsaari,Pori
Kramfors,Stockholm
Kramfors,Gallivare
Karlstad,Stockholm
Lycksele,Arvidsjaur
Lycksele,Stockholm
Mariehamn,Stockholm
Mariehamn,Turku
Ornskoldsvik,Stockholm
Oslo,Vaxjo
Pori,Stockholm
Pori,Kokkola/Pietarsaari
Turku,Mariehamn
Oslo,Stockholm
Visby,Stockholm
Vilhelmina,Stockholm
Vilhelmina,Hemavan
Vaxjo,Stockholm
Vaxjo,Oslo
Kodiak,Amook
Kodiak,Kitoi Bay
Kodiak,Larsen Bay
Kodiak,Ouzinkie
Kodiak,Old Harbor
Amook,Zachar Bay
Kitoi Bay,Seal Bay
Larsen Bay,Karluk
Ouzinkie,Port Lions
Seal Bay,Port Williams
Basco,Manila
Butuan,Manila
Cotabato,Manila
Cagayan De Oro,Manila
Catarman,Manila
Dumaguete,Manila
General Santos,Manila
Kalibo,Manila
Legazpi,Manila
Manila,Basco
Manila,Butuan
Manila,Cotabato
Manila,Cagayan De Oro
Manila,Catarman
Manila,Dumaguete
Manila,General Santos
Manila,Kalibo
Manila,Legazpi
Manila,Caticlan
Manila,Ozamis City
Manila,Puerto Princesa
Manila,Roxas City
Manila,Surigao
Manila,Tuguegarao
Manila,Zamboanga
Caticlan,Manila
Ozamis City,Manila
Puerto Princesa,Manila
Roxas City,Manila
Surigao,Manila
Tuguegarao,Manila
Zamboanga,Manila
Araguaina,Palmas
Barreiras,Brasilia
Barreiras,Salvador
Brasilia,Barreiras
Brasilia,Sinop
Brasilia,Ribeirao Preto
Cascavel,Sao Paulo
Cuiaba,Goiania
Cuiaba,Sinop
Campo Grande,Dourados
Dourados,Campo Grande
Dourados,Sao Paulo
Rio De Janeiro,Ribeirao Preto
Sao Paulo,Cascavel
Sao Paulo,Dourados
Sao Paulo,Ribeirao Preto
Sao Paulo,Uberaba
Sao Paulo,Uberlandia
Sao Paulo,Vitoria Da Conquista
Goiania,Cuiaba
Goiania,Palmas
Goiania,Ribeirao Preto
Goiania,Uberlandia
Sinop,Brasilia
Sinop,Cuiaba
Belo Horizonte,Ribeirao Preto
Palmas,Araguaina
Palmas,Goiania
Ribeirao Preto,Brasilia
Ribeirao Preto,Rio De Janeiro
Ribeirao Preto,Sao Paulo
Ribeirao Preto,Goiania
Ribeirao Preto,Belo Horizonte
Ribeirao Preto,Sao Jose Do Rio Preto
Ribeirao Preto,Uberlandia
Sao Jose Do Rio Preto,Ribeirao Preto
Salvador,Barreiras
Salvador,Vitoria Da Conquista
Uberaba,Sao Paulo
Uberaba,Uberlandia
Uberlandia,Sao Paulo
Uberlandia,Goiania
Uberlandia,Ribeirao Preto
Uberlandia,Uberaba
Vitoria Da Conquista,Sao Paulo
Vitoria Da Conquista,Salvador
Burlington,Chicago
Burlington,St Louis
Decatur,Chicago
Decatur,St Louis
Jonesboro,St Louis
Chicago,Burlington
Chicago,Decatur
St Louis,Burlington
St Louis,Decatur
St Louis,Jonesboro
Craig,Hollis
Craig,Ketchikan
Hollis,Craig
Hollis,Thorne Bay
Hollis,Ketchikan
Thorne Bay,Hollis
Thorne Bay,Ketchikan
Ketchikan,Craig
Ketchikan,Hollis
Ketchikan,Thorne Bay
Ketchikan,Metlakatla
Metlakatla,Ketchikan
Accra,Dakar
Accra,Lagos
Accra,Monrovia
Barcelona,Banjul
Banjul,Barcelona
Banjul,Dakar
Banjul,Freetown
Conakry,Bissau
Dakar,Accra
Dakar,Banjul
Dakar,Douala
Dakar,Freetown
Dakar,Lagos
Dakar,Bissau
Douala,Dakar
Douala,Lagos
Freetown,Banjul
Freetown,Dakar
Freetown,London
Freetown,Monrovia
London,Freetown
Lagos,Accra
Lagos,Dakar
Lagos,Douala
Lagos,Monrovia
Bissau,Conakry
Bissau,Dakar
Monrovia,Accra
Monrovia,Freetown
Monrovia,Lagos
Akulivik,Ivujivik
Akulivik,Povungnituk
Kangiqsualujjuaq,Kuujjuaq
La Grande,Kuujjuarapik
La Grande,Povungnituk
La Grande,Montreal
Kuujjuarapik,La Grande
Kuujjuarapik,Inukjuak
Kuujjuarapik,Sanikiluaq
Kuujjuarapik,Umiujaq
Kuujjuarapik,Montreal
Kuujjuarapik,Rouyn
Ivujivik,Akulivik
Ivujivik,Salluit
Kangirsuk,Aupaluk
Kangirsuk,Quaqtaq
Kangirsuk,Kuujjuaq
Schefferville,Quebec City
Schefferville,Kuujjuaq
Schefferville,Wabush
Schefferville,Sept-Iles
Inukjuak,Povungnituk
Inukjuak,Umiujaq
Inukjuak,Kuujjuaq
Aupaluk,Kangirsuk
Aupaluk,Tasiujuaq
Aupaluk,Kuujjuaq
Povungnituk,Akulivik
Povungnituk,La Grande
Povungnituk,Inukjuak
Povungnituk,Kuujjuaq
Quebec City,Schefferville
Quebec City,Montreal
Quaqtaq,Kangirsuk
Quaqtaq,Kangiqsujuaq
Sanikiluaq,Kuujjuarapik
Sanikiluaq,Umiujaq
Tasiujuaq,Aupaluk
Tasiujuaq,Kuujjuaq
Umiujaq,Kuujjuarapik
Umiujaq,Inukjuak
Umiujaq,Sanikiluaq
Montreal,La Grande
Montreal,Kuujjuarapik
Montreal,Quebec City
Montreal,Rouyn
Rouyn,Kuujjuarapik
Rouyn,Montreal
Kuujjuaq,Kangiqsualujjuaq
Kuujjuaq,Kuujjuarapik
Kuujjuaq,Kangirsuk
Kuujjuaq,Schefferville
Kuujjuaq,Inukjuak
Kuujjuaq,Aupaluk
Kuujjuaq,Povungnituk
Kuujjuaq,Tasiujuaq
Kangiqsujuaq,Quaqtaq
Kangiqsujuaq,Salluit
Wabush,Schefferville
Wabush,Sept-Iles
Salluit,Ivujivik
Salluit,Kangiqsujuaq
Sept-Iles,Schefferville
Sept-Iles,Wabush
Djibouti,Dubai
Djibouti,Jeddah
Djibouti,Mogadishu
Mogadishu,Nairobi
Nairobi,Mogadishu
Bangkok,Singapore
Darwin,Singapore
Haikou,Singapore
Hangzhou,Singapore
Hong Kong,Singapore
Phuket,Singapore
Osaka,Manila
Osaka,Taipei
Kuala Lumpur,Singapore
Manila,Osaka
Manila,Singapore
Penang,Singapore
Perth,Singapore
Phnom Penh,Singapore
Siem Reap,Singapore
Yangon,Singapore
Ho Chi Minh City,Singapore
Singapore,Bangkok
Singapore,Darwin
Singapore,Haikou
Singapore,Hangzhou
Singapore,Hong Kong
Singapore,Phuket
Singapore,Kuala Lumpur
Singapore,Manila
Singapore,Penang
Singapore,Perth
Singapore,Phnom Penh
Singapore,Siem Reap
Singapore,Yangon
Singapore,Ho Chi Minh City
Singapore,Shantou
Singapore,Taipei
Shantou,Singapore
Taipei,Osaka
Taipei,Singapore
Altenrhein,Elba Island
Dresden,Zurich
Dusseldorf,Friedrichshafen
Elba Island,Altenrhein
Elba Island,Friedrichshafen
Elba Island,Munich
Elba Island,Zurich
Friedrichshafen,Dusseldorf
Friedrichshafen,Elba Island
Friedrichshafen,Hamburg
Friedrichshafen,Olbia
Friedrichshafen,Berlin
Friedrichshafen,Zadar
Graz,Zurich
Hamburg,Friedrichshafen
Munich,Elba Island
Olbia,Friedrichshafen
Salzburg,Zurich
Berlin,Friedrichshafen
Zadar,Friedrichshafen
Zurich,Dresden
Zurich,Elba Island
Zurich,Graz
Zurich,Salzburg
Atlanta,Lewisburg
Atlanta,Macon
Atlanta,Meridian
Atlanta,Sheffield
Atlanta,Laurel
Atlanta,Tupelo
Bimini,Fort Lauderdale
North Eleuthera,Fort Lauderdale
North Eleuthera,West Palm Beach
Key West,Fort Lauderdale
Key West,Fort Myers
Key West,Tampa
Fort Lauderdale,Bimini
