Source City,Destination City
Singapore,Moscow
Moscow,Hong Kong
Hong Kong,Shanghai
Shanghai,Beijing
Beijing,Tokyo
Tokyo,Dubai
Dubai,Mumbai
Mumbai,Paris
Paris,Sydney
Sydney,Venice
Venice,Los Angeles
Los Angeles,London
London,Seoul
Seoul,Bangkok
Bangkok,Las Vegas
Las Vegas,Taipei
Taipei,New York
New York,Kuala Lumpur
Kuala Lumpur,Athens
Athens,Belize City
Belize City,Qingdao
Qingdao,Phuket
Phuket,Vancouver
Vancouver,Yangon
Yangon,Manila
Manila,Freetown
Freetown,Lagos
Lagos,Bissau
Bissau,Monrovia
Monrovia,Accra
Accra,Quebec City
Quebec City,Wabush
Wabush,Dresden
Dresden,Olbia
Olbia,Berlin
Berlin,Zadar
Zadar,Key West
Key West,Fort Myers
Fort Myers,Tampa
Tampa,George Town
George Town,Greenville
Greenville,Orlando
Orlando,Marsh Harbour
Marsh Harbour,Aruba
Aruba,Istanbul
Istanbul,St Petersburg
St Petersburg,Astrakhan
Astrakhan,Chongqing
Chongqing,Hangzhou
Hangzhou,Chengdu
Chengdu,Tianjin
Tianjin,Wuhan
Wuhan,Kunming
Kunming,Trelew
Trelew,Esquel
Esquel,Rio Gallegos
Rio Gallegos,Rio Grande
Rio Grande,Yellowknife
Yellowknife,Tunis
Tunis,Tripoli
Tripoli,Jeddah
Jeddah,Sfax
Sfax,Jeju
Jeju,Osaka
Osaka,Fukuoka
Fukuoka,Shenyang
Shenyang,Nagoya
Nagoya,New Orleans
New Orleans,Detroit
Detroit,Augusta
Augusta,Boston
Boston,Beef Island
Beef Island,San Juan
San Juan,Rockland
Rockland,Delhi
Delhi,Milan
Milan,San Diego
San Diego,Philadelphia
Philadelphia,Columbia
Columbia,Washington
Washington,Miami
Miami,Chicago
Chicago,Denver
Denver,Dallas
Dallas,Seattle
Seattle,San Francisco
San Francisco,Louisville
Louisville,Perth
Perth,Melbourne
Melbourne,Hamburg
Hamburg,Cologne
Cologne,Munich
Munich,Vienna
Vienna,Dusseldorf
Dusseldorf,Frankfurt
Frankfurt,Grenada
Grenada,Toronto
Toronto,Havana
Havana,Kansas City
