Source City,Destination City
Palma Mallorca,Miami
Monastir,Kuwait City
Puerto del Rosario,Kalibo
Faro,Tallinn
Launceston,Toronto
Accra,Puerto del Rosario
Hong Kong,Tasiujuaq
Yerevan,Tasiujuaq
Moscow,Dusseldorf
Palma Mallorca,Launceston
Launceston,Miami
Washington,Oslo
Belgrade,Birmingham
Accra,Saipan
Sokoto,Puerto del Rosario
Minneapolis,Dusseldorf
Saipan,Verona
Verona,Dusseldorf
Moscow,Accra
Kalibo,Aktau
Puerto del Rosario,Hong Kong
Washington,Tasiujuaq
Sokoto,Kuwait City
Miami,Minneapolis
Calgary,Kalibo
Washington,Tallinn
Monastir,Miami
Kuwait City,Minneapolis
Toronto,Palma Mallorca
Shannon,Calgary
Toronto,Yerevan
Verona,Aktau
Verona,Shannon
Calgary,Washington
Faro,Washington
Toronto,Tallinn
Tallinn,Minneapolis
Pune,Kalibo
Yerevan,Dusseldorf
Tasiujuaq,Shannon
Birmingham,Sokoto
Launceston,London
Verona,Tasiujuaq
Washington,London
Toronto,Minneapolis
Oslo,London
Tasiujuaq,Pune
Tallinn,Sokoto
Dusseldorf,Launceston
Verona,Calgary
London,Faro
Saipan,Hong Kong
Accra,Toronto
Verona,Launceston
Belgrade,Kuwait City
Launceston,Accra
Yerevan,Oslo
Verona,Yerevan
Belgrade,Calgary
Belgrade,Saipan
Monastir,Adrar
Miami,Aktau
Monastir,Tallinn
Washington,Moscow
Dusseldorf,Shannon
Oslo,Birmingham
Washington,Pune
Minneapolis,Pune
Pune,Calgary
Dusseldorf,Hong Kong
Kuwait City,Faro
Monastir,Toronto
Calgary,Sokoto
Monastir,Dusseldorf
Kuwait City,Puerto del Rosario
Dusseldorf,Tallinn
Calgary,Miami
Verona,Moscow
Tasiujuaq,Aktau
Adrar,Kuwait City
Faro,Yerevan
Sokoto,Yerevan
Kuwait City,Toronto
Shannon,Tallinn
Sokoto,Pune
Kalibo,Sokoto
London,Birmingham
